ROI_Label,Net_Label
LH_Limbic_OFC_4,5
LH_Limbic_OFC_5,5
LH_Limbic_TempPole_1,5
LH_Limbic_TempPole_2,5
LH_Limbic_TempPole_3,5
LH_Limbic_TempPole_4,5
LH_Limbic_TempPole_5,5
LH_Limbic_TempPole_6,5
LH_Limbic_TempPole_7,5
LH_Limbic_TempPole_8,5
LH_Cont_Par_1,6
LH_Cont_Par_2,6
LH_Cont_Par_3,6
LH_Cont_Par_4,6
LH_Cont_Par_5,6
LH_Cont_Par_6,6
LH_Cont_Temp_1,6
LH_Cont_PFCl_1,6
LH_Cont_PFCl_2,6
LH_Cont_PFCl_3,6
LH_Cont_PFCl_4,6
LH_Cont_PFCl_5,6
LH_Cont_PFCl_6,6
LH_Cont_PFCl_7,6
LH_Cont_PFCl_8,6
LH_Cont_PFCl_9,6
LH_Cont_PFCv_1,6
LH_Cont_pCun_1,6
LH_Cont_pCun_2,6
LH_Cont_Cing_1,6
LH_Cont_Cing_2,6
LH_Cont_PFCmp_1,6
LH_Default_Temp_1,7
LH_Default_Temp_2,7
LH_Default_Temp_3,7
LH_Default_Temp_4,7
LH_Default_Temp_5,7
LH_Default_Temp_6,7
LH_Default_Temp_7,7
LH_Default_Temp_8,7
LH_Default_Temp_9,7
LH_Default_Temp_10,7
LH_Default_Temp_11,7
LH_Default_Temp_12,7
LH_Default_Temp_13,7
LH_Default_Temp_14,7
LH_Default_Temp_15,7
LH_Default_Temp_16,7
LH_Default_Temp_17,7
LH_Default_PFC_1,7
LH_Default_PFC_2,7
LH_Default_PFC_3,7
LH_Default_PFC_4,7
LH_Default_PFC_5,7
LH_Default_PFC_6,7
LH_Default_PFC_7,7
LH_Default_PFC_8,7
LH_Default_PFC_9,7
LH_Default_PFC_10,7
LH_Default_PFC_11,7
LH_Default_PFC_12,7
LH_Default_PFC_13,7
LH_Default_PFC_14,7
LH_Default_PFC_15,7
LH_Default_PFC_16,7
LH_Default_PFC_17,7
LH_Default_PFC_18,7
LH_Default_PFC_19,7
LH_Default_PFC_20,7
LH_Default_PFC_21,7
LH_Default_PFC_22,7
LH_Default_PFC_23,7
LH_Default_PFC_24,7
LH_Default_PCC_1,7
LH_Default_PCC_2,7
LH_Default_PCC_3,7
LH_Default_PCC_4,7
LH_Default_PCC_5,7
LH_Default_PCC_6,7
LH_Default_PCC_7,7
LH_Default_PCC_8,7
LH_Default_PCC_9,7
LH_Default_PCC_10,7
LH_Default_PCC_11,7
RH_Vis_1,1
RH_Vis_2,1
RH_Vis_3,1
RH_Vis_4,1
RH_Vis_5,1
RH_Vis_6,1
RH_Vis_7,1
RH_Vis_8,1
RH_Vis_9,1
RH_Vis_10,1
RH_Vis_11,1
RH_Vis_12,1
RH_Vis_13,1
RH_Vis_14,1
RH_Vis_15,1
RH_Vis_16,1
RH_Vis_17,1
RH_Vis_18,1
RH_Vis_19,1
RH_Vis_20,1
RH_Vis_21,1
RH_Vis_22,1
RH_Vis_23,1
RH_Vis_24,1
RH_Vis_25,1
RH_Vis_26,1
RH_Vis_27,1
RH_Vis_28,1
RH_Vis_29,1
RH_Vis_30,1
RH_SomMot_1,2
RH_SomMot_2,2
RH_SomMot_3,2
RH_SomMot_4,2
RH_SomMot_5,2
RH_SomMot_6,2
RH_SomMot_7,2
RH_SomMot_8,2
RH_SomMot_9,2
RH_SomMot_10,2
RH_SomMot_11,2
RH_SomMot_12,2
RH_SomMot_13,2
RH_SomMot_14,2
RH_SomMot_15,2
RH_SomMot_16,2
RH_SomMot_17,2
RH_SomMot_18,2
RH_SomMot_19,2
RH_SomMot_20,2
RH_SomMot_21,2
RH_SomMot_22,2
RH_SomMot_23,2
RH_SomMot_24,2
RH_SomMot_25,2
RH_SomMot_26,2
RH_SomMot_27,2
RH_SomMot_28,2
RH_SomMot_29,2
RH_SomMot_30,2
RH_SomMot_31,2
RH_SomMot_32,2
RH_SomMot_33,2
RH_SomMot_34,2
RH_SomMot_35,2
RH_SomMot_36,2
RH_SomMot_37,2
RH_SomMot_38,2
RH_SomMot_39,2
RH_SomMot_40,2
RH_DorsAttn_Post_1,3
RH_DorsAttn_Post_2,3
RH_DorsAttn_Post_3,3
RH_DorsAttn_Post_4,3
RH_DorsAttn_Post_5,3
RH_DorsAttn_Post_6,3
RH_DorsAttn_Post_7,3
RH_DorsAttn_Post_8,3
RH_DorsAttn_Post_9,3
RH_DorsAttn_Post_10,3
RH_DorsAttn_Post_11,3
RH_DorsAttn_Post_12,3
RH_DorsAttn_Post_13,3
RH_DorsAttn_Post_14,3
RH_DorsAttn_Post_15,3
RH_DorsAttn_Post_16,3
RH_DorsAttn_Post_17,3
RH_DorsAttn_Post_18,3
RH_DorsAttn_Post_19,3
RH_DorsAttn_FEF_1,3
RH_DorsAttn_FEF_2,3
RH_DorsAttn_FEF_3,3
RH_DorsAttn_PrCv_1,3
RH_SalVentAttn_TempOccPar_1,4
RH_SalVentAttn_TempOccPar_2,4
RH_SalVentAttn_TempOccPar_3,4
RH_SalVentAttn_TempOccPar_4,4
RH_SalVentAttn_TempOccPar_5,4
RH_SalVentAttn_TempOccPar_6,4
RH_SalVentAttn_TempOccPar_7,4
RH_SalVentAttn_PrC_1,4
RH_SalVentAttn_FrOper_1,4
RH_SalVentAttn_FrOper_2,4
RH_SalVentAttn_FrOper_3,4
RH_SalVentAttn_FrOper_4,4
RH_SalVentAttn_FrOper_5,4
RH_SalVentAttn_FrOper_6,4
RH_SalVentAttn_FrOper_7,4
RH_SalVentAttn_FrOper_8,4
RH_SalVentAttn_PFCl_1,4
RH_SalVentAttn_Med_1,4
RH_SalVentAttn_Med_2,4
RH_SalVentAttn_Med_3,4
RH_SalVentAttn_Med_4,4
RH_SalVentAttn_Med_5,4
RH_SalVentAttn_Med_6,4
RH_SalVentAttn_Med_7,4
RH_SalVentAttn_Med_8,4
RH_Limbic_OFC_1,5
RH_Limbic_OFC_2,5
RH_Limbic_OFC_3,5
RH_Limbic_OFC_4,5
RH_Limbic_OFC_5,5
RH_Limbic_OFC_6,5
RH_Limbic_TempPole_1,5
RH_Limbic_TempPole_2,5
RH_Limbic_TempPole_3,5
RH_Limbic_TempPole_4,5
RH_Limbic_TempPole_5,5
RH_Limbic_TempPole_6,5
RH_Limbic_TempPole_7,5
RH_Cont_Par_1,6
RH_Cont_Par_2,6
RH_Cont_Par_3,6
RH_Cont_Par_4,6
RH_Cont_Par_5,6
RH_Cont_Par_6,6
RH_Cont_Temp_1,6
RH_Cont_Temp_2,6
RH_Cont_PFCv_1,6
RH_Cont_PFCl_1,6
RH_Cont_PFCl_2,6
RH_Cont_PFCl_3,6
RH_Cont_PFCl_4,6
RH_Cont_PFCl_5,6
RH_Cont_PFCl_6,6
RH_Cont_PFCl_7,6
RH_Cont_PFCl_8,6
RH_Cont_PFCl_9,6
RH_Cont_PFCl_10,6
RH_Cont_PFCl_11,6
RH_Cont_PFCl_12,6
RH_Cont_PFCl_13,6
RH_Cont_PFCl_14,6
RH_Cont_PFCl_15,6
RH_Cont_pCun_1,6
RH_Cont_pCun_2,6
RH_Cont_Cing_1,6
RH_Cont_Cing_2,6
RH_Cont_PFCmp_1,6
RH_Cont_PFCmp_2,6
RH_Default_Par_1,7
RH_Default_Par_2,7
RH_Default_Par_3,7
RH_Default_Par_4,7
RH_Default_Par_5,7
RH_Default_Temp_1,7
RH_Default_Temp_2,7
RH_Default_Temp_3,7
RH_Default_Temp_4,7
RH_Default_Temp_5,7
RH_Default_Temp_6,7
RH_Default_Temp_7,7
RH_Default_Temp_8,7
RH_Default_PFCv_1,7
RH_Default_PFCv_2,7
RH_Default_PFCv_3,7
RH_Default_PFCv_4,7
RH_Default_PFCm_1,7
RH_Default_PFCm_2,7
RH_Default_PFCm_3,7
RH_Default_PFCm_4,7
RH_Default_PFCm_5,7
RH_Default_PFCm_6,7
RH_Default_PFCm_7,7
RH_Default_PFCm_8,7
RH_Default_PFCm_9,7
RH_Default_PFCm_10,7
RH_Default_PFCm_11,7
RH_Default_PFCm_12,7
RH_Default_PFCm_13,7
RH_Default_PCC_1,7
RH_Default_PCC_2,7
RH_Default_PCC_3,7
RH_Default_PCC_4,7
RH_Default_PCC_5,7
RH_Default_PCC_6,7
RH_Default_PCC_7,7
RH_Default_PCC_8,7
RH_Default_PCC_9,7
CIT168Subcortical_Pu_rh,8
CIT168Subcortical_Ca_rh,8
CIT168Subcortical_NAC_rh,8
CIT168Subcortical_EXA_rh,8
CIT168Subcortical_GPe_rh,8
CIT168Subcortical_GPi_rh,8
CIT168Subcortical_SNc_CIT168Subcortical_PBP_CIT168Subcortical_VTA_rh,8
CIT168Subcortical_RN_rh,8
CIT168Subcortical_SNr_rh,8
CIT168Subcortical_VeP_rh,8
CIT168Subcortical_HN_rh,8
CIT168Subcortical_HTH_rh,8
CIT168Subcortical_MN_rh,8
CIT168Subcortical_STH_rh,8
CIT168Subcortical_Pu_lh,8
CIT168Subcortical_Ca_lh,8
CIT168Subcortical_NAC_lh,8
CIT168Subcortical_EXA_lh,8
CIT168Subcortical_GPe_lh,8
CIT168Subcortical_GPi_lh,8
CIT168Subcortical_SNc_CIT168Subcortical_PBP_CIT168Subcortical_VTA_lh,8
CIT168Subcortical_RN_lh,8
CIT168Subcortical_SNr_lh,8
CIT168Subcortical_VeP_lh,8
CIT168Subcortical_HN_lh,8
CIT168Subcortical_HTH_lh,8
CIT168Subcortical_MN_lh,8
CIT168Subcortical_STH_lh,8
Thalamus_LH_Pulvinar,8
Thalamus_LH_Anterior,8
Thalamus_LH_Medio_Dorsal,8
Thalamus_LH_Ventral_Latero_Dorsal,8
Thalamus_LH_Central_Lateral_Lateral_Posterior_Medial_Pulvinar,8
Thalamus_LH_Ventral_Anterior,8
Thalamus_LH_Ventral_Latero_Ventral,8
Thalamus_RH_Pulvinar,8
Thalamus_RH_Anterior,8
Thalamus_RH_Medio_Dorsal,8
Thalamus_RH_Ventral_Latero_Dorsal,8
Thalamus_RH_Central_Lateral_Lateral_Posterior_Medial_Pulvinar,8
Thalamus_RH_Ventral_Anterior,8
Thalamus_RH_Ventral_Latero_Ventral,8
Cerebellum_Region1,8
Cerebellum_Region2,8
Cerebellum_Region3,8
Cerebellum_Region4,8
Cerebellum_Region5,8
Cerebellum_Region6,8
Cerebellum_Region7,8
Cerebellum_Region8,8
Cerebellum_Region9,8
Cerebellum_Region10,8
